trackkey,date,latitude,longitude
13751,11/13/2010 0:00:00,-62.6175,-39.705
13751,11/14/2010 0:00:00,-63.3,-37.715
13751,11/14/2010 0:00:00,-63.86,-35.8225
13751,11/15/2010 0:00:00,-64.3475,-34.2125
13751,11/15/2010 0:00:00,-64.7725,-32.9425
13751,11/16/2010 0:00:00,-65.2425,-32.795
13751,11/16/2010 0:00:00,-65.6525,-34.615
13751,11/17/2010 0:00:00,-65.69,-36.37
13751,11/17/2010 0:00:00,-65.75,-35.4075
13751,11/18/2010 0:00:00,-66.415,-33.6975
13751,1/30/2011 0:00:00,-67.45,-33.565
13751,2/1/2011 0:00:00,-67.96,-34
13751,2/3/2011 0:00:00,-67.525,-32.945
13751,2/3/2011 0:00:00,-67.02,-28.39
13751,2/4/2011 0:00:00,-67.1475,-23.0325
13751,2/4/2011 0:00:00,-67.03,-21.365
13751,2/5/2011 0:00:00,-66.785,-23.7625
13751,2/5/2011 0:00:00,-67.2125,-26.47
13751,2/6/2011 0:00:00,-67.6575,-26.46
13751,2/6/2011 0:00:00,-67.87,-24.8275
13751,2/7/2011 0:00:00,-68.4275,-24.6325
13751,2/7/2011 0:00:00,-69.3625,-24.72
13751,2/8/2011 0:00:00,-70.21,-22.5575
13751,2/8/2011 0:00:00,-70.555,-23.205
13751,2/9/2011 0:00:00,-70.615,-27.7925
13751,2/9/2011 0:00:00,-70.8475,-30.915
13751,2/10/2011 0:00:00,-71.05,-30.1625
13751,2/10/2011 0:00:00,-70.8625,-29.535
13751,2/11/2011 0:00:00,-70.4575,-31.6875
13751,2/11/2011 0:00:00,-70.3025,-32.3725
13751,2/12/2011 0:00:00,-70.405,-31.1225
13751,2/12/2011 0:00:00,-70.2725,-31.4675
13751,2/13/2011 0:00:00,-69.5125,-31.845
13751,2/13/2011 0:00:00,-68.6775,-29.255
13751,2/14/2011 0:00:00,-68.5475,-26.8225
13751,2/14/2011 0:00:00,-68.6325,-26.765
13751,2/15/2011 0:00:00,-68.775,-28.3025
13751,2/15/2011 0:00:00,-68.91,-31.6525
13751,2/16/2011 0:00:00,-68.1925,-34.0325
13751,2/16/2011 0:00:00,-67.5,-32.5375
13751,2/17/2011 0:00:00,-67.9225,-30.45
13751,2/17/2011 0:00:00,-69.0425,-28.7725
13751,2/18/2011 0:00:00,-70.1575,-25.3475
13751,2/18/2011 0:00:00,-70.4775,-23.3575
13751,2/19/2011 0:00:00,-70.3575,-24.1475
